,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
131,(ВАЗ) Kalina I,68000.0,2008.0,144000.0,серый,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,LADA,хэтчбек,5,1.6,81,Бензин,1
132,Tiguan I Рестайлинг,937000.0,2015.0,94000.0,чёрный,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,внедорожник,5,1.4,150,Бензин,1
133,on-DO I,428000.0,2018.0,59407.0,чёрный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Datsun,седан,4,1.6,87,Бензин,1
134,Hunter  315148,300000.0,2007.0,78857.0,зелёный,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,УАЗ,внедорожник,5,2.2,92,Дизель,1
135,Fabia II,355000.0,2008.0,60480.0,синий,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,хэтчбек,5,1.2,70,Бензин,1
136,EcoSport I,789700.0,2017.0,77810.0,коричневый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Ford,внедорожник,5,1.6,122,Бензин,1
137,Outlander III Рестайлинг 2,1659000.0,2016.0,30000.0,серый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.4,167,Бензин,1
138,Rover Range Rover Sport II Рестайлинг,4800000.0,2018.0,61000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Land,внедорожник,5,3.0,340,Бензин,1
139,(ВАЗ) 2121 (4x4) I Рестайлинг,160000.0,2011.0,120000.0,белый,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,внедорожник,3,1.7,83,Бензин,1
140,Sonata  IV (EF) Рестайлинг ТагАЗ,295000.0,2007.0,210973.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,2.7,172,Бензин,1
141,Lanos I,115000.0,2006.0,150000.0,серебристый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,1.5,86,Бензин,1
142,Logan II,527000.0,2017.0,63500.0,белый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Renault,седан,4,1.6,82,Бензин,1
143,408 I,442000.0,2013.0,120000.0,белый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Peugeot,седан,4,1.6,120,Бензин,1
144,RX  IV 300,3499000.0,2018.0,25000.0,бежевый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Lexus,внедорожник,5,2.0,238,Бензин,1
